Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
55,Jamaree Bouyea,PG,24,POR,6,57,-4.7,.238,.381,.000,3.7,16.9,9.9,19.3,0.0,0.0,27.6,21.6,,-0.4,0.0,-0.4,-0.299,,-13.1,-4.8,-18.0,-0.2,bouyeja01
56,Malaki Branham,PG,20,SAS,45,921,8.3,.511,.397,.082,1.6,8.9,5.2,15.4,0.9,0.5,12.6,18.5,,-0.6,0.3,-0.4,-0.019,,-3.9,-2.1,-6.0,-0.9,branhma01
57,Christian Braun,SG,22,DEN,51,959,11.3,.540,.316,.292,4.8,15.9,10.4,9.7,1.0,1.6,9.6,16.5,,0.5,1.0,1.5,.077,,-2.3,-0.7,-2.9,-0.2,braunch01
58,Mikal Bridges,SF,27,BRK,48,1684,16.3,.575,.397,.295,2.6,13.0,7.7,16.0,1.3,1.1,10.7,25.9,,1.6,1.2,2.8,.081,,1.2,-1.1,0.1,0.9,bridgmi01
59,Miles Bridges,SF,25,CHO,37,1373,15.0,.551,.374,.173,2.3,21.0,11.1,13.4,1.4,1.5,9.7,24.4,,0.1,0.7,0.8,.028,,-0.3,-1.3,-1.6,0.1,bridgmi02
60,Oshae Brissett,SF,25,BOS,32,363,13.4,.563,.398,.441,10.7,17.0,14.0,7.1,1.8,0.5,9.0,14.5,,0.6,0.6,1.1,.147,,-1.5,0.7,-0.8,0.1,brissos01
61,Malcolm Brogdon,PG,31,POR,39,1121,16.9,.560,.401,.234,2.7,12.9,7.4,30.8,1.2,0.6,9.9,23.0,,1.9,0.6,2.5,.106,,2.5,-0.7,1.8,1.1,brogdma01
62,Armoni Brooks,PG,25,BRK,10,104,8.1,.448,.696,.043,7.1,11.7,9.3,6.6,0.5,0.9,6.0,20.4,,-0.1,0.0,0.0,-0.018,,-2.2,-3.6,-5.8,-0.1,brookar01
63,Dillon Brooks,SF,28,HOU,40,1245,10.0,.576,.442,.209,2.4,9.5,6.0,7.1,1.5,0.3,10.8,18.2,,0.3,1.4,1.8,.068,,-3.2,0.2,-3.0,-0.3,brookdi01
64,Bruce Brown,SG-PG,27,TOT,41,1198,11.9,.560,.308,.240,3.4,15.4,9.3,11.9,1.7,1.0,10.7,16.5,,0.8,0.8,1.6,.065,,-2.0,-0.5,-2.5,-0.2,brownbr01
64,Bruce Brown,SG,27,IND,33,981,12.1,.568,.322,.261,2.9,15.1,9.0,12.4,1.7,0.6,10.5,16.5,,0.9,0.6,1.4,.069,,-1.8,-0.6,-2.3,-0.1,brownbr01
64,Bruce Brown,PG,27,TOR,8,217,11.3,.518,.246,.145,5.5,16.6,11.0,9.8,2.0,2.8,12.0,16.5,,0.0,0.2,0.2,.048,,-3.2,-0.2,-3.4,-0.1,brownbr01
65,Charlie Brown Jr.,SG,26,NYK,4,6,-12.2,.375,.750,.000,0.0,0.0,0.0,0.0,0.0,15.3,33.3,42.5,,-0.1,0.0,-0.1,-0.538,,-14.3,-6.7,-21.0,0.0,brownch02
66,Greg Brown III,PF,22,DAL,6,40,10.4,.501,.273,.818,8.1,16.9,12.4,13.1,0.0,8.8,21.1,20.2,,-0.1,0.0,0.0,-0.013,,-4.8,0.4,-4.4,0.0,browngr01
67,Jaylen Brown,SF,27,BOS,46,1527,18.1,.576,.332,.246,3.6,13.2,8.6,17.8,1.6,1.6,10.9,28.2,,1.6,2.2,3.8,.119,,0.8,0.2,1.0,1.1,brownja02
68,Kendall Brown,SG,20,IND,5,20,14.0,.579,.167,1.000,11.4,0.0,5.7,12.1,0.0,0.0,0.0,17.9,,0.1,0.0,0.1,.154,,-0.1,-2.3,-2.4,0.0,brownke03
