,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
77,Hunter Hillenmeyer,CHI,24,LLB,16,11,0,0,0,0,2,1,0,1,13,0,2.5,86,65,21,9,,,HillHu20
78,Kevin Lewis,NYG,26,MLB,16,16,0,0,0,0,3,0,0,1,16,0,1.0,91,65,26,4,,,LewiKe23
79,David Barrett,NYJ,27,RCB,16,16,2,14,0,14,13,1,0,0,0,0,0.0,78,64,14,6,,,BarrDa22
80,Ken Hamlin,SEA,23,FS,16,16,4,48,0,24,9,1,0,0,0,0,2.0,80,64,16,1,,,HamlKe20
81,Ed Reed*+,BAL,26,SS,16,16,9,358,1,106,17,3,1,2,44,1,2.0,78,64,14,6,,,ReedEd00
82,Todd Johnson,CHI,26,FS,16,10,0,0,0,0,2,0,0,1,0,0,0.0,75,63,12,1,,,JohnTo20
83,David Macklin,ARI,26,RCB,16,16,4,18,0,16,16,1,0,1,1,0,0.5,75,63,12,1,,,MackDa20
84,Mike Minter,CAR,30,SS,16,16,0,0,0,0,10,3,0,2,0,0,2.0,83,63,20,2,,,MintMi21
85,Takeo Spikes*+,BUF,28,RLB,16,16,5,122,2,62,18,4,0,1,0,0,3.0,98,63,35,8,,,SpikTa00
86,Greg Wesley,KAN,26,SS,12,11,4,92,0,65,7,4,0,0,0,0,0.0,70,63,7,0,,,WeslGr20
87,Brian Williams,MIN,25,RCB,16,16,2,14,0,14,11,2,0,0,0,0,0.0,76,63,13,5,,,WillBr22
88,Brian Dawkins*+,PHI,31,FS,15,15,4,40,0,32,12,2,0,1,0,0,3.0,70,62,8,3,,,DawkBr00
89,Carlos Emmons,NYG,31,LLB,15,15,0,0,0,0,3,,,,,0,1.0,97,62,35,3,,,EmmoCa20
90,John Henderson*,JAX,25,RDT,16,16,0,0,0,0,4,0,0,1,0,0,5.5,75,62,13,9,,,HendJo99
91,Landon Johnson,CIN,23,MLB,16,11,0,0,0,0,2,2,0,1,0,0,2.0,89,62,27,5,,,JohnLa20
92,Ken Lucas,SEA,25,RCB,16,16,6,46,1,25,21,1,0,2,3,0,0.0,70,62,8,2,,,LucaKe20
93,Brian Russell,MIN,26,FS,16,16,1,41,0,41,7,0,0,1,0,0,0.0,82,62,20,1,,,RussBr20
94,Corey Chavous,MIN,28,SS,16,16,1,0,0,0,6,1,0,0,0,0,0.0,81,61,20,2,,,ChavCo00
95,Donovin Darius,JAX,29,SS,16,16,5,80,0,37,7,2,0,4,0,0,0.0,89,61,28,1,,,DariDo20
96,Na'il Diggs,GNB,26,RLB,14,14,,,0,,,,,,,0,1.0,80,61,19,12,,,DiggNa20
97,Nick Greisen,NYG,25,RLB,15,7,0,0,0,0,6,1,0,1,0,0,2.0,80,61,19,2,,,GreiNi20
98,Shawntae Spencer,SFO,22,RCB,16,12,0,0,0,0,7,,,,,,0.0,70,61,9,2,,,SpenSh20
99,Sean Taylor,WAS,21,FS,15,13,4,85,0,45,15,2,0,0,0,0,1.0,78,61,17,3,,,TaylSe20
100,Kevin Mathis,ATL,30,RCB/LCB,15,12,2,101,2,66,8,,,,,0,0.0,65,60,5,1,,,MathKe20
101,Kawika Mitchell,KAN,25,MLB,15,12,0,0,0,0,3,1,0,2,39,1,1.0,74,60,14,9,,,MitcKa20
102,Tony Parrish,SFO,29,SS,16,16,4,64,0,26,8,1,0,1,8,0,0.5,88,60,28,2,,,ParrTo20
103,Ronnie Heard,SFO,28,FS,16,14,1,14,0,14,6,0,0,1,0,0,0.0,71,59,12,2,,,HearRo20
104,Chris Hope,PIT,24,FS,16,16,1,41,0,41,5,1,0,0,0,0,0.0,90,59,31,0,,,HopeCh21
105,Darren Sharper,GNB,29,FS,15,13,4,97,2,43,7,2,0,1,15,1,0.0,72,59,13,1,,,SharDa00
106,Matt Stewart,ATL,25,RLB,16,15,0,0,0,0,4,,,,,0,1.5,71,59,12,6,,,StewMa21
107,Jeremiah Trotter*,PHI,27,MLB,16,9,0,0,0,0,1,,,,,0,1.0,69,59,10,12,,,TrotJe00
108,Eugene Wilson,NWE,24,FS,15,14,4,51,0,24,7,2,0,2,0,0,0.0,69,59,10,1,,,WilsEu20
109,Charles Woodson,OAK,28,RCB,13,12,1,25,0,25,9,2,0,1,0,0,2.5,74,59,15,1,,,WoodCh00
110,Nate Clements*,BUF,25,RCB,16,16,6,77,1,35,14,5,3,2,0,0,0.5,79,58,21,3,,,ClemNa99
111,James Davis,DET,25,LLB,16,15,0,0,0,0,3,0,0,1,0,0,3.5,83,58,25,7,,,DaviJa24
112,Nick Harper,IND,30,LCB,14,14,3,12,0,12,8,0,0,1,15,0,0.0,77,58,19,1,,,HarpNi20
113,Tory James*,CIN,31,RCB,16,16,8,66,0,23,13,2,0,1,0,0,0.0,63,58,5,2,,,JameTo99
114,Ifeanyi Ohalete,ARI,25,FS,16,13,0,0,0,0,9,1,0,2,0,0,0.0,71,58,13,0,,,OhalIf20
115,Orlando Ruff,NOR,28,MLB,14,8,1,0,0,0,3,,,,,0,0.0,79,58,21,1,,,RuffOr20
116,Brent Alexander,NYG,33,FS/SS,16,16,3,3,0,2,7,1,0,2,29,0,2.0,80,56,24,3,,,AlexBr20
117,Marques Anderson,OAK,25,SS,14,10,1,23,0,23,2,1,0,2,0,0,0.0,74,56,18,2,,,AndeMa22
118,Aaron Glenn,HOU,32,LCB,16,16,5,40,0,23,14,0,2,1,0,0,0.0,64,56,8,0,,,GlenAa00
119,Cornelius Griffin,WAS,28,RDT,15,15,0,0,0,0,6,0,0,1,0,0,6.0,70,56,14,21,,,GrifCo20
120,Al Harris,GNB,30,RCB,16,16,1,29,0,29,20,,,,,0,0.0,62,56,6,0,,,HarrAl21
121,Ed Hartwell,BAL,26,LILB,16,15,,,0,,,1,0,1,-1,0,0.0,97,56,41,3,,,HartEd20
122,Kelly Herndon,DEN,28,RCB,16,16,2,17,0,15,23,3,0,1,0,0,1.0,70,56,14,4,,,HernKe20
123,Ted Johnson,NWE,32,LILB,16,15,0,0,0,0,1,1,0,0,0,0,1.0,78,56,22,2,,,JohnTe20
124,Bracy Walker,DET,34,SS,16,16,1,0,0,0,6,0,0,2,2,0,1.0,78,56,22,2,,,WalkBr20
125,Fakhir Brown,NOR,27,RCB,16,10,2,0,0,0,11,2,0,3,2,0,0.0,56,55,1,1,,,BrowFa20
126,Patrick Kerney*,ATL,28,LDE,16,15,1,0,0,0,9,1,0,1,0,0,13.0,66,55,11,17,,,KernPa99
127,R.W. McQuarters,CHI,28,LCB/RCB,16,14,2,85,1,45,9,0,5,2,3,0,0.0,67,55,12,1,,,McQuR.20
128,Fred Smoot,WAS,25,RCB,15,15,3,17,0,17,13,2,0,1,0,0,0.0,61,55,6,2,,,SmooFr20
129,Adalius Thomas,BAL,27,ROLB,16,16,1,8,0,8,5,4,0,0,0,0,8.0,72,55,17,11,,,ThomAd00
130,Lamont Thompson,TEN,26,FS,16,13,4,77,1,37,6,1,0,0,0,0,0.0,65,55,10,0,,,ThomLa21
131,Reggie Tongue,NYJ,31,SS,16,16,1,23,0,23,5,1,0,1,0,0,0.0,72,55,17,2,,,TongRe20
132,Ian Gold,TAM,26,LLB,16,13,1,31,0,31,3,,,,,0,0.5,71,54,17,4,,,GoldIa00
133,Sammy Knight,MIA,29,SS,16,16,4,32,0,32,4,2,1,1,0,0,0.0,100,54,46,3,,1,KnigSa00
134,Ricky Manning,CAR,24,LCB,16,16,4,46,0,30,9,0,1,0,0,0,0.0,66,54,12,2,,,MannRi20
135,Rashean Mathis,JAX,24,LCB,16,16,5,42,0,21,21,1,0,0,0,0,0.0,64,54,10,2,,,MathRa99
136,Rob Morris,IND,29,MLB,15,14,1,17,0,17,2,1,0,0,0,0,3.0,77,54,23,5,,,MorrRo20
137,Brian Urlacher,CHI,26,MLB,9,9,1,42,0,42,7,2,0,0,0,0,5.5,72,54,18,9,,,UrlaBr00
138,Mike Vrabel,NWE,29,ROLB,16,15,0,0,0,0,3,,,,,0,5.5,71,54,17,10,,,VrabMi20
139,Jamie Winborn,SFO,25,RLB,14,10,1,1,0,1,8,2,0,2,10,0,4.5,63,54,9,5,,,WinbJa20
140,Dexter Coakley,DAL,32,RLB,16,16,0,0,0,0,6,0,0,1,0,0,0.0,71,53,18,2,,,CoakDe00
141,Andra Davis,CLE,26,MLB,11,11,3,35,0,30,6,0,0,1,0,0,0.5,71,53,18,2,,,DaviAn20
142,Larry Foote,PIT,24,RILB,16,16,1,1,0,1,2,1,0,1,0,0,3.0,70,53,17,8,,,FootLa20
143,Jay Foreman,HOU,28,LILB,11,11,0,0,0,0,1,0,0,1,3,0,0.0,79,53,26,2,,,ForeJa20
144,Quentin Jammer,SDG,25,RCB,16,16,1,12,0,12,10,,,,,0,0.0,62,53,9,1,,,JammQu20
145,Julius Peppers*+,CAR,24,LDE,16,16,2,143,1,97,9,4,0,1,60,1,11.0,65,53,12,9,,,PeppJu99
146,Mark Roman,GNB,27,SS,16,15,0,0,0,0,2,,,,,0,3.5,72,53,19,3,,,RomaMa20
147,Duane Starks,ARI,30,LCB,15,8,3,46,1,41,12,1,0,2,2,0,1.0,58,53,5,1,,,StarDu20
148,Terreal Bierria,SEA,24,SS,15,12,1,10,0,10,5,1,0,0,0,0,0.0,75,52,23,1,,,BierTe20
149,Jim Nelson,IND,29,LB,15,1,1,0,0,0,5,0,0,2,0,0,0.0,69,52,17,1,,,NelsJi20
150,Lito Sheppard*+,PHI,23,LCB,15,15,5,172,2,101,15,,,,,0,1.0,56,52,4,2,,,ShepLi99
151,Shawn Springs,WAS,29,LCB,15,15,5,117,0,38,12,1,0,0,0,0,6.0,64,52,12,6,,,SpriSh00
152,Kevin Williams*+,MIN,24,RDT,16,16,1,7,0,7,8,2,0,3,77,1,11.5,70,52,18,13,,,WillKe98
153,Jerry Wilson,SDG,31,FS,16,16,3,12,0,12,4,1,0,0,0,0,0.0,75,52,23,1,,,WilsJe22
154,Jason Babin,HOU,24,LOLB,16,16,0,0,0,0,5,0,0,2,22,0,4.0,63,51,12,13,,,BabiJa20
155,Kim Herring,CIN,29,SS,12,10,1,0,0,0,6,1,0,0,0,0,0.0,64,51,13,4,,,HerrKi20
156,Brian Kelly,TAM,28,LCB,16,16,4,101,0,75,22,0,0,1,32,0,0.0,58,51,7,2,,,KellBr21
157,Terrell Suggs*,BAL,22,LOLB,16,16,0,0,0,0,1,1,0,2,24,0,10.5,67,51,16,17,,,SuggTe99
158,Kailee Wong,HOU,28,ROLB,16,16,3,0,0,0,14,1,0,1,0,0,5.5,71,51,20,8,,,WongKa20
159,Phillip Buchanon,OAK,24,LCB,14,14,3,69,1,23,9,0,2,2,0,0,0.0,59,50,9,1,,,BuchPh20
160,Dwaine Carpenter,SFO,28,LCB,15,6,1,31,0,31,5,1,0,1,80,1,2.0,55,50,5,3,,,CarpDw20
161,Mark Fields*,CAR,32,LLB,14,10,1,14,0,14,3,1,0,1,0,0,4.0,62,50,12,10,,,FielMa99
162,Deon Grant,JAX,25,FS,16,16,2,4,0,4,8,0,0,1,0,0,1.0,65,50,15,1,,,GranDe21
163,Kevin Kaesviharn,CIN,28,SS,15,6,0,0,0,0,8,0,0,1,3,1,0.0,66,50,16,2,,,KaesKe20
164,Eric Warfield,KAN,28,LCB,16,16,4,49,1,43,12,1,0,0,0,0,0.0,58,50,8,1,,,WarfEr20
